timestamp_eastern,open,high,low,close,volume,cd,cdv,vwap
"May 07, 2025 11:16:58 AM",5625.25,5628.5,5623.75,5624.0,2351,1992864825489,2302102470511,5626.410569970226
"May 07, 2025 11:18:10 AM",5623.75,5627.25,5622.5,5626.75,2350,2027224563842,2267742732158,5624.686489361702
"May 07, 2025 11:20:01 AM",5626.75,5627.5,5624.75,5625.75,2592,2104533974974,2190433321026,5625.93287037037
"May 07, 2025 11:21:03 AM",5625.5,5628.5,5622.75,5625.5,2471,2156073582607,2138893713393,5625.49251315257
"May 07, 2025 11:21:48 AM",5625.5,5632.0,5625.5,5631.75,2272,1245540516724,3049426779276,5629.270136443662
"May 07, 2025 11:22:36 AM",5631.5,5631.75,5626.0,5626.0,2344,2392296783590,1902670512410,5629.1029223549485
"May 07, 2025 11:23:58 AM",5626.25,5630.5,5625.75,5628.0,2510,2134598746072,2160368549928,5628.848406374502
"May 07, 2025 11:25:51 AM",5628.0,5629.75,5627.5,5627.75,2617,2134598746055,2160368549945,5628.557222009935
"May 07, 2025 11:27:24 AM",5627.75,5629.25,5625.25,5625.5,2440,2323577307058,1971389988942,5627.007274590164
"May 07, 2025 11:28:52 AM",5625.5,5627.75,5624.25,5624.75,2512,2284922601296,2010044694704,5625.827030254777
"May 07, 2025 11:30:07 AM",5625.0,5630.0,5625.0,5627.75,2677,1838246002891,2456721293109,5627.783246171087
"May 07, 2025 11:31:36 AM",5627.75,5629.75,5625.0,5626.75,2235,2087354105989,2207613190011,5627.754586129754
"May 07, 2025 11:33:07 AM",5626.75,5630.5,5626.5,5629.25,2717,1971389988965,2323577307035,5628.662679425837
"May 07, 2025 11:35:02 AM",5629.25,5629.75,5625.25,5626.75,2512,2168958484326,2126008811674,5627.262141719745
"May 07, 2025 11:36:29 AM",5626.5,5629.5,5625.5,5625.5,2643,2147483647987,2147483648013,5627.521282633371
"May 07, 2025 11:37:51 AM",5625.5,5628.75,5623.75,5627.25,2365,2220498091903,2074469204097,5626.049788583509
"May 07, 2025 11:38:50 AM",5627.25,5632.0,5627.25,5631.25,2607,1692217115093,2602750180907,5630.296797084772
"May 07, 2025 11:40:30 AM",5631.25,5631.75,5628.5,5631.0,2604,2087354105776,2207613190224,5630.455453149001
"May 07, 2025 11:41:12 AM",5631.0,5634.0,5630.25,5632.5,2429,1430224110215,2864743185785,5632.998353231783
"May 07, 2025 11:41:49 AM",5632.5,5636.0,5632.5,5635.75,2583,1284195222275,3010772073725,5634.842431281456
"May 07, 2025 11:43:02 AM",5636.0,5636.5,5634.75,5635.75,2693,2091649073189,2203318222811,5635.763924990717
"May 07, 2025 11:44:17 AM",5635.75,5638.0,5635.5,5637.0,2399,1949915152713,2345052143287,5636.933618174239
"May 07, 2025 11:46:05 AM",5637.0,5637.75,5635.5,5637.75,2715,2375116914435,1919850381565,5636.706445672192
"May 07, 2025 11:47:08 AM",5637.0,5637.75,5632.25,5632.25,2697,2894807956573,1400159339427,5634.58787541713
"May 07, 2025 11:47:45 AM",5632.25,5633.25,5629.0,5629.0,2398,2667174690328,1627792605672,5630.935675562969
"May 07, 2025 11:48:24 AM",5629.0,5629.25,5625.75,5626.75,2292,2598455213708,1696512082292,5627.487456369982
"May 07, 2025 11:49:16 AM",5627.0,5627.25,5624.0,5626.75,2467,2186138353619,2108828942381,5625.345764085934
"May 07, 2025 11:50:25 AM",5626.75,5627.5,5624.5,5626.5,2984,1924145349050,2370821946950,5625.948140080429
"May 07, 2025 11:51:03 AM",5626.5,5627.0,5622.5,5625.5,2540,2516850835208,1778116460792,5624.53562992126
"May 07, 2025 11:52:06 AM",5625.5,5629.0,5624.5,5628.5,2412,1765231559140,2529735736860,5626.847533167496
"May 07, 2025 11:52:57 AM",5628.5,5633.0,5627.5,5632.75,2556,1795296330072,2499670965928,5630.424784820031
"May 07, 2025 11:53:56 AM",5632.75,5635.0,5632.0,5633.75,2608,2220498091912,2074469204088,5633.518692484663
"May 07, 2025 11:55:30 AM",5633.75,5635.25,5631.25,5634.0,2589,2405181685647,1889785610353,5633.276651216686
"May 07, 2025 11:56:57 AM",5634.0,5636.75,5632.5,5636.25,2544,1937030250740,2357937045260,5634.823604559749
"May 07, 2025 11:58:29 AM",5636.5,5637.5,5634.25,5635.75,2518,2289217568630,2005749727370,5636.158657664813
"May 07, 2025 12:00:15 PM",5635.5,5636.5,5633.75,5634.0,3046,2168958484474,2126008811526,5635.456007879186
"May 07, 2025 12:02:01 PM",5634.0,5637.5,5633.25,5637.0,2798,2194728288226,2100239007774,5635.963902787706
"May 07, 2025 12:04:07 PM",5636.75,5637.25,5633.75,5634.75,2761,2336462209005,1958505086995,5635.502625860196
"May 07, 2025 12:05:32 PM",5634.5,5639.0,5634.0,5637.75,2519,1404454306523,2890512989477,5637.068678046844
"May 07, 2025 12:06:41 PM",5637.75,5639.0,5633.5,5634.0,2502,2469606194888,1825361101112,5635.994804156675
"May 07, 2025 12:07:24 PM",5633.75,5635.75,5630.5,5635.5,2837,2727304232521,1567663063479,5632.863500176242
"May 07, 2025 12:09:05 PM",5635.75,5637.75,5633.25,5636.25,2520,1997159792746,2297807503254,5635.699107142857
"May 07, 2025 12:11:30 PM",5636.25,5638.5,5634.5,5636.0,2785,2035814498421,2259152797579,5636.703231597846
